timestamp,BFR_Target,BFR_Filt,FFR_Target,FFR_Filt,TFR_Target,TFR_Filt,BFL_Target,BFL_Filt,FFL_Target,FFL_Filt,TFL_Target,TFL_Filt,BBR_Target,BBR_Filt,FBR_Target,FBR_Filt,TBR_Target,TBR_Filt,BBL_Target,BBL_Filt,FBL_Target,FBL_Filt,TBL_Target,TBL_Filt
0.38,0.0,-0.13992957859794877,0.0,-1.8192772344935488,0.0,1.5994979687018174,0.0,-0.11442359784428487,0.0,-1.8104046053182907,0.0,1.5927162311862293,0.0,-0.13626783681066823,0.0,-1.6530575374087069,0.0,1.4823934148865967,0.0,-0.1186889175788256,0.0,-1.6442579058802034,0.0,1.4756541526099096
0.39,0.0,-0.13984033257148903,0.0,-1.8172501624139359,0.0,1.5977570175154046,0.0,-0.11427183957866364,0.0,-1.8084059212124157,0.0,1.5909924621944473,0.0,-0.1361782972995176,0.0,-1.6513046333912467,0.0,1.4808560887148148,0.0,-0.11854320242979426,0.0,-1.6425352041054793,0.0,1.4741351825715223
0.4,0.0,-0.13974924559560456,0.0,-1.8152175408056226,0.0,1.5960092361398217,0.0,-0.11411828038425736,0.0,-1.8064038220119558,0.0,1.5892632503956705,0.0,-0.13608685013787614,0.0,-1.6495383891605637,0.0,1.4793063828251625,0.0,-0.11839561965091173,0.0,-1.6408009763865306,0.0,1.4726052201974396
0.41000000000000003,0.0,-0.13965665117562592,0.0,-1.8131836385368396,0.0,1.5942563321223615,0.0,-0.11396322708597013,0.0,-1.8044017228114957,0.0,1.5875298764503682,0.0,-0.13599381549086115,0.0,-1.6477613660375967,0.0,1.4777448308261683,0.0,-0.11824647606708216,0.0,-1.6390571437140617,0.0,1.4710644789310727
0.42,0.0,-0.13956281611581758,0.0,-1.8111508034851147,0.0,1.5924996928451987,0.0,-0.11380694648806643,0.0,-1.8024013311583282,0.0,1.585793514297304,0.0,-0.13589948684316358,0.0,-1.6459753782913442,0.0,1.4761726066565959,0.0,-0.1180960518227832,0.0,-1.637305413635365,0.0,1.4695138125460683
0.43,0.0,-0.13946798054001755,0.0,-1.8091205297543282,0.0,1.5907403855253917,0.0,-0.11364967871438424,0.0,-1.8004043545997457,0.0,1.5840552311535359,0.0,-0.13580409097840818,0.0,-1.6441822401908044,0.0,1.4745909909769148,0.0,-0.1179446003820661,0.0,-1.6355471735326157,0.0,1.4679542882594838
0.44,0.0,-0.13937233121121093,0.0,-1.8070936711181271,0.0,1.5889794773799977,0.0,-0.11349162386812191,0.0,-1.7984112200225715,0.0,1.5823155606275925,0.0,-0.1357078146595801,0.0,-1.6423836592832695,0.0,1.4730013711693002,0.0,-0.11779229516770276,0.0,-1.6337838107879887,0.0,1.4663870800100833
0.45,0.0,-0.1392760282119564,0.0,-1.805070654463334,0.0,1.5872176087392518,0.0,-0.11333294203183812,0.0,-1.7964223543136284,0.0,1.58057535649312,0.0,-0.1356108446496644,0.0,-1.6405808095075036,0.0,1.4714051346159271,0.0,-0.11763930960246505,0.0,-1.6320166060619539,0.0,1.4648135751800417
0.46,0.0,-0.13917923162481263,0.0,-1.8030516932333605,0.0,1.5854555266550943,0.0,-0.1131737799478783,0.0,-1.7944373305860934,0.0,1.578835045636942,0.0,-0.1355133143507934,0.0,-1.6387749715239757,0.0,1.469803455255559,0.0,-0.11748579042869843,0.0,-1.6302463064064512,0.0,1.4632349477081223
0.47000000000000003,0.0,-0.13908203483127216,0.0,-1.8010361470979719,0.0,1.5836934445709367,0.0,-0.11301423099773504,0.0,-1.7924563622833782,0.0,1.5770949482241754,0.0,-0.1354153304846728,0.0,-1.6369668923846263,0.0,1.4681978271920773,0.0,-0.11733184436810869,0.0,-1.6284740857602444,0.0,1.4616523715330894
0.48,0.0,-0.13898455789325403,0.0,-1.79902422950058,0.0,1.5819318960953082,0.0,-0.11285441524332733,0.0,-1.7904790225186595,0.0,1.5753555978633493,0.0,-0.13531701311322164,0.0,-1.6351574258631019,0.0,1.466589317642539,0.0,-0.11717756480218838,0.0,-1.6267005844535682,0.0,1.4600669138720002
0.49,0.0,-0.13888686751182433,0.0,-1.7970155135543617,0.0,1.5801712013933258,0.0,-0.11269441272593449,0.0,-1.7885048844051141,0.0,1.5736171012761695,0.0,-0.1352184155972928,0.0,-1.6333474257330485,0.0,1.4649787803805914,0.0,-0.11702305845264328,0.0,-1.6249264428166574,0.0,1.4584796419419126
